equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,ranking
1. Cruzeiro,77,72,4,53.7,79.9,16.2,7.08
2. Santos FC,51,79,3,49.5,79.5,16.6,6.93
3. Athletico Paranaense,65,91,5,49.5,71.5,13.9,6.90
4. Sao Paulo,39,83,10,53.9,83.6,12.8,6.86
5. Atletico MG,49,96,9,51.3,76.0,15.1,6.86
6. Portuguesa,48,84,9,48.2,77.0,15.4,6.84
7. Corinthians,27,65,3,52.7,78.4,14.8,6.84
8. Vitoria,60,55,1,48.1,76.6,13.8,6.83
9. Gremio,42,78,6,49.1,75.6,14.7,6.83
10. Goias,48,66,5,46.6,75.7,15.1,6.82
11. Botafogo RJ,56,81,3,53.1,78.3,15.4,6.82
12. Coritiba,40,96,4,51.4,81.1,11.4,6.82
13. Flamengo,42,63,5,50.2,79.0,13.4,6.79
14. Fluminense,42,72,11,50.9,80.3,12.7,6.76
15. Bahia,39,99,7,47.8,78.1,15,6.73
16. Vasco da Gama,51,88,2,50.1,76.1,14.5,6.73
17. Internacional,50,90,7,53.0,80.5,10.7,6.72
18. Ponte Preta,39,79,4,47.7,76.6,12,6.72
19. Criciuma,47,95,6,47.0,76.3,14.8,6.70
20. Nautico,22,75,3,46.0,76.8,14.1,6.57
