equipe,gols,cartao_amarelo,cartao_vermelho,posse_de_bola,passes_certos,disputa_aerea,ranking
1. Flamengo,86,86,3,55.9,84.9,17.1,6.94
2. Gremio,64,79,2,55.1,86.2,14.6,6.86
3. Palmeiras,61,71,4,49.5,82.4,18.2,6.85
4. Santos FC,60,97,10,54.6,82.8,16.4,6.85
5. Internacional,44,94,3,52.5,83.9,18.3,6.80
6. Sao Paulo,39,82,6,52.6,83.6,16.7,6.79
7. Athletico Paranaense,51,80,1,54.8,83.9,17.3,6.77
8. Corinthians,42,70,1,51.1,83.0,19.4,6.76
9. Bahia,44,61,6,47.3,79.9,20.2,6.72
10. Atletico MG,45,67,5,49.6,82.4,17.2,6.70
11. Fluminense,38,80,9,55.4,86.8,14.8,6.69
12. Goias,46,82,7,44.3,78.2,15.6,6.68
13. Fortaleza,50,76,6,46.7,82.7,15.6,6.68
14. Chapecoense AF,31,77,5,46.1,78.7,18,6.67
15. Vasco da Gama,39,99,4,46.0,79.8,16.8,6.65
16. Ceara,36,84,2,46.4,79.3,17.2,6.65
17. Botafogo RJ,31,91,3,50.0,83.1,18.5,6.64
18. Cruzeiro,27,79,6,51.5,83.5,17.9,6.62
19. CS Alagoano,24,88,4,42.9,79.3,16.7,6.56
20. Avai FC,18,76,10,47.4,78.9,16,6.55
